City_Name,Longitude,Latitude,Overall_Rank,General_Fund_Reserves_Rank,Debt_Burden_Rank,Liquidity_Rank,Revenue_Trends_Rank,Pension_Obligations_Rank,Pension_Funding_Rank,Pension_Costs_Rank,Future_Pension_Costs_Rank,OPEB_Obligations_Rank,OPEB_Funding_Rank,Overall_Risk,General_Fund_Reserves_Risk,Debt_Burden_Risk,Liquidity_Risk,Revenue_Trends_Risk,Pension_Obligations_Risk,Pension_Funding_Risk,Pension_Costs_Risk,Future_Pension_Costs_Risk,OPEB_Obligations_Risk,OPEB_Funding_Risk,Overall_Points,General_Fund_Reserves_Points,Debt_Burden_Points,Liquidity_Points,Revenue_Trends_Points,Pension_Obligations_Points,Pension_Funding_Points,Pension_Costs_Points,Future_Pension_Costs_Points,OPEB_Obligations_Points,OPEB_Funding_Points,General_Fund_Reserves_Ratio,Debt_Burden_Ratio,Liquidity_Ratio,Revenue_Trends_Ratio,Pension_Obligations_Ratio,Pension_Funding_Ratio,Pension_Costs_Ratio,Future_Pension_Costs_Ratio,OPEB_Obligations_Ratio,OPEB_Funding_Ratio,Population,Unemployment_rate,General_Fund_Cash_and_Investments,General_Fund_Liabilities,Primary_Government_Long_Term_Obligations_Excluding_Retirement_Obligations,Government_Wide_Revenue,Change_GF_Unrestricted_Fund_Balances,GF_Unrestricted_Fund_Balances,GF_Expenditures_Transfers_Out,GF_Unrestricted_FB_PY_PY,GF_Unrestricted_FB_PY,GF_Unrestricted_FB_CY,GF_Rev_PY_PY,GF_Rev_PY,GF_Rev_CY,Net_Pension_Liability_or_Asset,Pension_Related_Debt,Pension_Assets,Accrued_Pension_Liabilities,Actuarially_Determined_Pension_Contributions,Projected_Pension_Contribution,Net_OPEB_Liability_or_Asset
Redondo Beach,-118.3845942,33.8398289,28,45,196,58,109,19,24,19,1,74,207,Moderate,HIGH,MODERATE,LOW,MODERATE,HIGH,HIGH,HIGH,HIGH,LOW,HIGH,48.99,6.39,12.99,10,2.75,0.72,3.3,1.39,0,10,1.45,0.18,0.44,2.47,0.02,1.41,0.66,0.13,0.2,0.12,0.29,65533,0.097,7889075,3187715,62223324,140375333,0,17438443,97193377,17690229,19742239,17438443,90223234,96422165,92489823,198594126,0,410627837,620055518,17755884,28131075,16703058
Redwood City,-122.232523,37.4863239,138,119,241,58,329,117,24,61,94,74,244,Moderate,MODERATE,LOW,LOW,MODERATE,MODERATE,HIGH,HIGH,HIGH,LOW,HIGH,64.19,12.63,13.83,10,3.5,5.12,3.3,2.22,1.39,10,2.2,0.32,0.34,2.65,0.08,0.86,0.66,0.1,0.13,0.17,0.44,84466,0.055,58814601,22217599,102213069,298935909,0.4,52219680,161052070,28134558,48048598,52219680,143135100,159620802,165041795,257382858,0,531328619,799622638,30095442,37817032,50079105
Reedley,-119.4511877,36.5963906,133,165,50,58,109,234,226,230,182,74,149,Moderate,MODERATE,HIGH,LOW,MODERATE,LOW,MODERATE,LOW,MODERATE,LOW,HIGH,63.58,15.79,7,10,2.75,8.08,3.7,3.61,2.5,10,0.15,0.4,1.16,10.66,0.02,0.49,0.74,0.05,0.09,0.24,0.03,25738,0.172,2934638,275369,32426891,28021635,0.39,3933359,9815724,2124915,3456028,3933359,8482505,9803108,8675667,13845540,0,43785608,58880215,1524932,2413754,6806852
Rialto,-117.3703235,34.1064001,195,264,53,58,269,164,116,61,107,74,209,Moderate,LOW,HIGH,LOW,MODERATE,MODERATE,MODERATE,HIGH,HIGH,LOW,HIGH,69.68,23.27,7.66,10,3.25,6.56,3.55,2.22,1.67,10,1.5,0.67,1.08,7.2,0.06,0.68,0.71,0.1,0.12,0.25,0.3,104132,0.107,51020680,7090363,193298322,179057441,-0.03,63122039,94317080,66728704,58246788,63122039,87380883,100086436,97458262,121150015,0,323432868,454356207,17313783,21103378,44946430
Richmond,-122.3477,37.9358,9,32,46,58,153,1,116,27,1,38,183,High,HIGH,HIGH,LOW,MODERATE,HIGH,MODERATE,HIGH,HIGH,LOW,HIGH,39.55,4.92,6.91,10,2.88,0,3.55,1.67,0,8.72,0.9,0.13,1.17,2.65,0.03,1.85,0.71,0.12,0.18,0.41,0.18,110038,0.112,20202116,7620779,336285820,287440959,0.12,21940238,170995651,17663270,19597840,21940238,157093431,166048366,163572217,340483031,190624392,867933848,1222466187,34545411,51636116,119252808
Ridgecrest,-117.672097,35.6206924,301,240,309,58,109,136,397,408,327,74,275,Low,LOW,LOW,LOW,MODERATE,MODERATE,LOW,LOW,LOW,LOW,HIGH,81.3,20.92,15,10,2.75,5.84,4.95,5,3.89,10,2.95,0.53,0.17,2.37,0.02,0.77,0.99,0,0.04,0.03,0.59,29135,0.051,9745108,4115070,4443468,25774783,0.91,7195509,13638140,2066361,4759377,7195509,14465879,14695260,14793913,88254,19776270,71981957,73064141,69796,1133919,783090
Rio Dell,-124.106437,40.499301,377,309,41,58,388,337,402,408,408,74,325,Low,LOW,HIGH,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,90.71,30,6.58,10,4.13,10,5,5,5,10,5,1.66,1.21,15,0.13,NA,NA,NA,NA,NA,NA,3439,0.143,1699210,113308,6970791,5777047,0.17,2193550,1325062,1603177,1992249,2193550,1194056,1269899,1529003,NA,NA,NA,NA,NA,NA,NA
Rio Vista,-121.6913439,38.1557502,317,307,168,58,19,315,257,271,263,74,1,Low,LOW,MODERATE,LOW,HIGH,LOW,MODERATE,LOW,MODERATE,LOW,HIGH,83.83,29.01,12.25,10,2,9.6,3.75,3.89,3.33,10,0,0.75,0.53,3.35,-0.04,0.3,0.75,0.04,0.06,0.06,0,9978,0.117,6492504,1939807,11002255,20906240,0.16,5181573,6886672,3918914,5046986,5181573,7382167,7785885,6839100,6368691,0,20831637,27700220,755033,1256266,1196399
Riverside,-117.374238,33.9824949,44,158,11,58,81,50,380,123,236,74,1,Moderate,MODERATE,HIGH,LOW,MODERATE,HIGH,LOW,MODERATE,MODERATE,LOW,HIGH,52.21,15.39,1.08,10,2.63,2.72,4.55,2.78,3.06,10,0,0.39,1.87,3.76,0.01,1.16,0.91,0.08,0.07,0.05,0,330786,0.09,133404000,35513000,1750162000,933925000,0.21,121724000,312118000,84686000,116807000,121724000,271316000,279819000,277428000,599576000,484258000,2458440045,2688006379,71674000,66122927,50004000
Rocklin,-121.2357828,38.7907339,192,139,289,58,153,172,226,123,107,74,275,Moderate,MODERATE,LOW,LOW,MODERATE,MODERATE,MODERATE,MODERATE,HIGH,LOW,HIGH,69.35,13.91,14.66,10,2.88,6.8,3.7,2.78,1.67,10,2.95,0.41,0.24,3.29,0.03,0.65,0.74,0.08,0.12,0.18,0.59,70159,0.071,30275687,9194094,19627409,80325779,-0.07,27835156,68366246,33457215,37988023,27835156,49766526,53626344,52328779,51955531,0,159881263,217384807,6417342,9842948,14639419
Rohnert Park,-122.701098,38.3396367,314,285,309,58,49,219,294,149,236,74,286,Low,LOW,LOW,LOW,HIGH,MODERATE,MODERATE,MODERATE,MODERATE,LOW,HIGH,83.41,25.15,15,10,2.38,7.76,3.85,3.06,3.06,10,3.15,0.65,0.11,9.2,-0.01,0.53,0.77,0.07,0.07,0.07,0.63,42975,0.086,37181286,4039672,12733662,116189012,0.16,32583360,49934987,24510371,26331747,32583360,41768578,43773148,40920625,61990360,0,171054638,223336046,7660000,8042744,8677000
Rolling Hills,-118.3496623,33.7668041,401,309,309,58,19,337,294,316,327,74,325,Low,LOW,LOW,LOW,HIGH,LOW,MODERATE,LOW,LOW,LOW,LOW,93.91,30,15,10,2,10,3.85,4.17,3.89,10,5,2.19,0.01,27.08,-0.04,0.21,0.77,0.03,0.04,-0.07,1.56,1817,0.114,5692434,210198,19263,3286692,0.01,5212452,2374867,5120796,5406601,5212452,2351241,2352611,2172220,688971,0,2504025,3262890,84285,127009,NA
Rolling Hills Estates,-118.3581284,33.7877943,212,85,309,58,49,268,357,316,236,74,325,Low,MODERATE,LOW,LOW,HIGH,LOW,LOW,LOW,MODERATE,LOW,LOW,72.22,9.61,15,10,2.38,8.8,4.2,4.17,3.06,10,5,0.28,0.04,3.32,-0.01,0.4,0.84,0.03,0.07,NA,NA,7949,0.106,2773885,835521,415948,11724699,-0.06,2592943,9370198,2916088,2667214,2592943,9441254,9971908,9292791,4409133,265000,24126622,28642906,406582,792948,NA
Rosemead,-118.0879763,34.0676169,399,309,309,58,27,330,322,230,327,74,318,Low,LOW,LOW,LOW,HIGH,LOW,MODERATE,LOW,LOW,LOW,LOW,93.1,30,15,10,2.13,9.92,3.9,3.61,3.89,10,4.65,1.08,0.02,9.47,-0.03,0.26,0.78,0.05,0.04,0.01,0.93,53088,0.162,24029462,2536412,650566,32252261,0.11,23698110,22041961,19502335,22424335,23698110,24470286,24733542,22955488,8334817,0,29720229,38206290,1472845,1373342,301500
Roseville,-121.2880059,38.7521235,208,188,119,58,370,225,24,189,208,74,254,Moderate,LOW,MODERATE,LOW,LOW,MODERATE,HIGH,MODERATE,MODERATE,LOW,HIGH,71.21,16.97,10.66,10,3.88,7.84,3.3,3.33,2.78,10,2.45,0.43,0.72,4.3,0.11,0.52,0.66,0.06,0.08,0.17,0.49,144725,0.074,56023456,13020682,493741827,688607260,0.29,69498749,161749601,42278010,56151944,69498749,128930836,145030665,158668641,358844290,0,737551421,1122433075,38208489,56190693,116072790
Ross,-122.5553,37.9624,377,309,309,58,17,268,357,230,161,74,325,Low,LOW,LOW,LOW,HIGH,LOW,LOW,LOW,HIGH,LOW,LOW,90.71,30,15,10,1.88,8.8,4.2,3.61,2.22,10,5,1.46,0.05,6.19,-0.05,0.4,0.84,0.05,0.1,-0.02,1.62,2479,NA,12674997,2048212,504957,9532879,0.1,10356809,7108664,8570073,9475456,10356809,8158373,7870710,7476592,3811930,0,22204417,26577994,520197,918457,NA
Sacramento,-121.493895,38.5810606,100,169,42,58,196,133,116,123,107,74,175,Moderate,MODERATE,HIGH,LOW,MODERATE,MODERATE,MODERATE,MODERATE,HIGH,LOW,HIGH,60.03,15.86,6.66,10,3,5.76,3.55,2.78,1.67,10,0.75,0.41,1.2,5.38,0.04,0.78,0.71,0.08,0.12,0.19,0.15,512838,0.096,214904000,39942000,1608719000,1344723000,0.16,224160000,542360000,168524000,210606000,224160000,473932000,508185000,512728000,1046941000,0,2775483168,3907492022,110354000,165605315,248904000
Salinas,-121.655037,36.6744117,39,132,44,58,196,56,36,9,33,74,172,Moderate,MODERATE,HIGH,LOW,MODERATE,HIGH,HIGH,HIGH,HIGH,LOW,HIGH,51.27,13.42,6.83,10,3,2.96,3.35,0.83,0.28,10,0.6,0.34,1.18,2.35,0.04,1.13,0.67,0.15,0.17,0.1,0.12,154868,0.127,49106843,20932965,216307919,183398959,0.39,48792875,142879312,26964737,46101222,48792875,132416835,144802884,141969813,206626087,0,448906143,667123394,27258181,30632962,18966817
San Anselmo,-122.561503,37.9744323,147,59,305,58,238,291,70,316,182,74,156,Moderate,MODERATE,LOW,LOW,MODERATE,LOW,HIGH,LOW,MODERATE,LOW,HIGH,65.34,7.81,14.91,10,3.13,9.12,3.45,4.17,2.5,10,0.25,0.23,0.21,3.2,0.05,0.36,0.69,0.03,0.09,0.08,0.05,12513,0.081,5631581,1760269,5180561,24239584,-0.08,4215354,18154146,4938998,4154524,4215354,16717412,18246359,18213913,8294993,438000,38520686,55852393,781994,2095190,1818511
San Bernardino,-116.0833144,34.8253019,32,75,116,58,109,1,51,9,1,74,294,Moderate,MODERATE,MODERATE,LOW,MODERATE,HIGH,HIGH,HIGH,HIGH,LOW,HIGH,49.89,8.93,10.58,10,2.75,0,3.4,0.83,0,10,3.4,0.26,0.73,2.18,0.02,1.78,0.68,0.15,0.24,0.05,0.68,217491,0.121,32411887,14856052,190896488,260211842,-0.06,33890797,131303168,39064076,31611839,33890797,129562664,132971056,134390882,443384956,20058171,986329842,1459399534,38748389,61496976,13557801
San Bruno,-122.4145986,37.6248536,191,212,158,58,19,88,70,91,80,74,325,Moderate,LOW,MODERATE,LOW,HIGH,MODERATE,HIGH,MODERATE,HIGH,LOW,LOW,69.05,18.67,12.08,10,2,4.24,3.45,2.5,1.11,10,5,0.52,0.55,2.6,-0.04,0.97,0.69,0.09,0.14,NA,NA,44051,0.082,14460964,5561866,57770078,105449600,0.02,27364823,53051223,26500504,29154319,27364823,49785804,47465082,46304620,94844735,6948374,232930275,335409631,9607734,14405397,NA
San Carlos,-122.261823,37.504936,331,301,309,58,269,219,194,19,263,74,286,Low,LOW,LOW,LOW,MODERATE,MODERATE,MODERATE,HIGH,MODERATE,LOW,HIGH,84.81,27.28,15,10,3.25,7.76,3.65,1.39,3.33,10,3.15,0.72,0.05,6.07,0.06,0.53,0.73,0.13,0.06,0.02,0.63,29641,0.05,39609296,6527781,4668074,85258207,0.13,36241756,50566169,28942981,38039959,36241756,42511326,47130775,46964268,45532665,0,108939698,149514272,11427490,5177675,1781200
San Clemente,-117.6119,33.4269,210,116,309,58,81,268,70,271,327,74,201,Low,MODERATE,LOW,LOW,MODERATE,LOW,HIGH,LOW,LOW,LOW,HIGH,71.32,12.36,15,10,2.63,8.8,3.45,3.89,3.89,10,1.3,0.36,0.14,4.37,0.01,0.4,0.69,0.04,0.04,0.03,0.26,64551,0.079,26386716,6032212,15744850,114865832,-0.06,24538641,68705292,27693236,28548033,24538641,61855947,65789926,63486601,45759127,0,111163800,160540437,4631052,4897362,2972638
San Diego,-117.162772,32.7174202,37,22,56,58,302,133,226,61,235,74,189,Moderate,HIGH,HIGH,LOW,MODERATE,MODERATE,MODERATE,HIGH,MODERATE,LOW,HIGH,51.04,4.27,7.83,10,3.38,5.76,3.7,2.22,2.88,10,1,0.12,1.06,2.13,0.07,0.78,0.74,0.1,NA,0.13,0.2,1422420,0.09,553951000,260022000,3637844000,3445990000,0,215381000,1760421000,220634000,250613000,215381000,1502016000,1635768000,1711958000,2.671e+09,0,7767803000,10438803000,350500000,NA,462516000
San Dimas,-117.8069361,34.1065404,355,309,289,58,153,282,275,271,263,74,1,Low,LOW,LOW,LOW,MODERATE,LOW,MODERATE,LOW,MODERATE,LOW,HIGH,87.6,30,14.66,10,2.88,9.04,3.8,3.89,3.33,10,0,0.86,0.24,8.33,0.03,0.37,0.76,0.04,0.06,0.07,0,33165,0.106,21927427,2631864,7762019,32638951,0.07,21000621,24384908,18544724,20996879,21000621,22125495,24437935,23284786,12031846,0,42010943,54985305,1438660,2093360,2237758
San Fernando,-118.4418,34.2822,16,60,289,37,196,59,24,40,41,3,1,Moderate,MODERATE,LOW,MODERATE,MODERATE,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,43.77,7.89,14.66,6.5,3,3.04,3.3,1.94,0.56,2.88,0,0.2,0.24,1.3,0.04,1.12,0.66,0.11,0.16,1.14,0,24302,0.087,6175993,4735845,9313551,38303960,4.31,3624944,18072734,-274561,1820023,3624944,17989576,19158364,19359310,42948198,0,87058726,132704626,4125474,6230565,43605614
San Francisco,-122.4193286,37.7792588,125,177,21,58,269,282,362,189,390,57,167,Moderate,LOW,HIGH,LOW,MODERATE,LOW,LOW,MODERATE,LOW,LOW,HIGH,62.61,16.33,1.92,10,3.25,9.04,4.25,3.33,4.52,9.52,0.45,0.44,1.77,2.62,0.06,0.37,0.85,0.06,NA,0.31,0.09,866606,0.078,3492238000,1331484000,22162242000,12519966000,0.09,2455579000,5591671000,2076452000,2390787000,2455579000,4989555000,5890221000,5472952000,4655538000,0,25676761245,30346728658,742634000,NA,3902604000
San Gabriel,-118.1085554,34.0990995,2,1,262,16,196,17,51,5,1,5,171,High,HIGH,LOW,HIGH,MODERATE,HIGH,HIGH,HIGH,HIGH,MODERATE,HIGH,29.37,0,14.24,3.3,3,0.08,3.4,0.56,0,4.24,0.55,-0.21,0.29,0.66,0.04,1.49,0.68,0.16,0.2,0.97,0.11,39470,0.133,6391667,9642708,13765915,47700879,0.09,-8141906,38942050,-9853410,-8486517,-8141906,28031801,30816779,30240633,71186616,0,160323455,236020720,7679413,9697010,46036826
San Jacinto,-116.9586,33.7839,283,148,309,58,81,337,160,316,355,74,325,Low,MODERATE,LOW,LOW,MODERATE,LOW,MODERATE,LOW,LOW,LOW,LOW,79.29,14.72,15,10,2.63,10,3.6,4.17,4.17,10,5,0.41,0.16,2.5,0.01,0.24,0.72,0.03,0.03,NA,NA,51122,0.12,7595386,3032248,8430920,51715368,0.03,8985312,21717791,8864836,7124883,8985312,18679610,19078630,19022322,12170872,354861,33404323,46341533,1429712,1669907,NA
San Joaquin,-121.2773719,37.9372901,227,103,309,28,413,337,194,354,327,74,325,Low,MODERATE,LOW,HIGH,LOW,LOW,MODERATE,LOW,LOW,LOW,LOW,73.38,11.45,15,4.95,5,10,3.65,4.44,3.89,10,5,0.29,0.11,0.99,0.24,0.22,0.73,0.02,0.04,NA,NA,4005,0.164,180502,181969,552440,4826549,5.04,272634,931549,-10758,56990,272634,754799,887713,1144193,1059753,0,3178197,4336311,86565,173395,NA
San Jose,-121.890591,37.3361663,84,165,75,58,364,47,5,19,93,50,216,Moderate,MODERATE,MODERATE,LOW,MODERATE,HIGH,HIGH,HIGH,HIGH,LOW,HIGH,57.88,15.79,8.91,10,3.75,2.64,3.15,1.39,1.32,9.28,1.65,0.4,0.93,2.75,0.1,1.17,0.63,0.13,NA,0.34,0.33,1013616,0.081,590207000,214594000,2679611000,2880708000,0.27,458104000,1145243000,291812000,412976000,458104000,978796000,1068193000,1171132000,3383225000,0,5724962283,9108241255,370030000,NA,975830000
San Juan Bautista,-121.5372,36.8458,307,309,1,58,49,337,402,408,408,74,325,Low,LOW,HIGH,LOW,HIGH,LOW,LOW,LOW,LOW,LOW,LOW,82.38,30,0,10,2.38,10,5,5,5,10,5,1.12,2.09,4.78,-0.01,NA,NA,NA,NA,NA,NA,2124,0.061,3504097,732378,10792575,5161460,-0.01,3019539,2702251,3051788,2951065,3019539,2315590,1990408,2220455,NA,NA,NA,NA,NA,NA,NA
San Juan Capistrano,-117.6625509,33.5016932,322,309,102,58,329,261,194,271,381,74,1,Low,LOW,MODERATE,LOW,MODERATE,LOW,MODERATE,LOW,LOW,LOW,HIGH,84.12,30,10,10,3.5,8.72,3.65,3.89,4.36,10,0,0.78,0.8,9.2,0.08,0.41,0.73,0.04,NA,0.06,0,35810,0.076,21733855,2361666,51362197,64570006,0.17,22646713,29085825,16673904,20528459,22646713,27436521,36522274,30339545,26191970,0,71466382,97658352,2415626,NA,3908764
San Leandro,-122.1560768,37.7249296,169,222,154,58,153,42,51,61,41,74,309,Moderate,LOW,MODERATE,LOW,MODERATE,HIGH,HIGH,HIGH,HIGH,LOW,LOW,66.77,19.35,11.91,10,2.88,2.4,3.4,2.22,0.56,10,4.05,0.5,0.57,4.58,0.03,1.2,0.68,0.1,0.16,0.03,0.81,89161,0.108,52487252,11454964,94343100,164181649,0.16,56466407,112986729,41854591,49038023,56466407,111589268,118854224,117410317,188749063,8365794,432676261,636735406,16934786,27009764,4603448
San Luis Obispo,-120.375716,35.3540209,139,186,172,58,153,67,5,61,57,74,266,Moderate,LOW,MODERATE,LOW,MODERATE,HIGH,HIGH,HIGH,HIGH,LOW,HIGH,64.29,16.85,12.33,10,2.88,3.28,3.15,2.22,0.83,10,2.75,0.44,0.52,4.69,0.03,1.09,0.63,0.1,0.15,0.04,0.55,47590,0.077,33437815,7123757,75332735,144565555,0.14,33651296,76177032,25896243,29850024,33651296,71737084,74330913,74777802,158067259,0,283241265,451131015,14877556,22088363,5635327
San Marcos,-117.1661,33.1434,234,201,309,58,238,241,116,189,208,74,1,Low,LOW,LOW,LOW,MODERATE,LOW,MODERATE,MODERATE,MODERATE,LOW,HIGH,73.91,17.96,15,10,3.13,8.16,3.55,3.33,2.78,10,0,0.5,0.1,7.67,0.05,0.48,0.71,0.06,0.08,0.06,0,97477,0.084,107358779,14004075,12657297,130197878,0.03,42528748,84641767,39813895,41503557,42528748,70605896,74004842,77670594,63023722,0,170000883,238416212,7664492,10584444,7467130
San Marino,-118.1138,34.1223,164,223,309,58,109,63,160,61,33,74,1,Moderate,LOW,LOW,LOW,MODERATE,HIGH,MODERATE,HIGH,HIGH,LOW,HIGH,66.5,19.53,15,10,2.75,3.12,3.6,2.22,0.28,10,0,0.51,0.1,7.56,0.02,1.11,0.72,0.1,0.17,0.2,0,12786,0.041,16474422,2180369,3051329,31157204,0.15,15581416,30745723,12361315,17258556,15581416,27879556,28947615,28766529,32573549,1893710,90771046,126446196,3212404,5189934,6310545
San Mateo,-122.3330573,37.496904,111,263,15,58,153,107,24,123,94,74,220,Moderate,LOW,HIGH,LOW,MODERATE,MODERATE,HIGH,MODERATE,HIGH,LOW,HIGH,61.4,23.13,1.5,10,2.88,4.72,3.3,2.78,1.39,10,1.7,0.63,1.82,6.8,0.03,0.91,0.66,0.08,0.13,0.04,0.34,102398,0.061,92019191,13522705,460676916,252976261,0.07,84760671,135018210,74138449,87048954,84760671,124083378,139872196,130245699,230526373,0,475542955,723465175,20587561,31673616,11033000
San Pablo,-122.3455,37.9622,277,309,129,58,81,111,116,61,57,74,302,Low,LOW,MODERATE,LOW,MODERATE,MODERATE,MODERATE,HIGH,HIGH,LOW,MODERATE,79.02,30,11.08,10,2.63,4.96,3.55,2.22,0.83,10,3.75,0.98,0.67,10.76,0.01,0.88,0.71,0.1,0.15,0.07,0.75,30779,0.114,49706923,4620247,33128273,49458240,0,52243759,53375102,52857210,55769080,52243759,42287722,45191179,42544649,43650367,0,118015508,165504262,4778819,7519384,3359151
San Rafael,-122.5316686,37.9747795,20,21,129,44,81,40,372,1,92,74,247,Moderate,HIGH,MODERATE,LOW,MODERATE,HIGH,LOW,HIGH,HIGH,LOW,HIGH,45.45,3.78,11.08,7.95,2.63,2.24,4.4,0,1.12,10,2.25,0.11,0.67,1.59,0.01,1.22,0.88,0.18,NA,0.24,0.45,58528,0.067,8069393,5060832,75610321,112166674,-0.06,9799140,87774741,11214720,12495300,9799140,78468889,80335053,80287352,133877531,3320000,949023107,1082900638,20031614,NA,26607000
San Ramon,-121.9544387,37.7648021,180,103,236,56,49,202,352,149,161,74,321,Moderate,MODERATE,LOW,LOW,HIGH,MODERATE,LOW,MODERATE,HIGH,LOW,LOW,68.26,11.45,13.74,9.2,2.38,7.36,4.1,3.06,2.22,10,4.75,0.29,0.35,1.84,-0.01,0.58,0.82,0.07,0.1,0.02,0.95,82865,0.067,8907372,4843144,32689336,93258777,0.51,15210641,52697551,7241994,13726600,15210641,51058100,54296782,50499900,38827031,15070000,186491805,228700057,6897854,9707710,1562066
Sand City,-121.848285,36.6171819,356,309,309,58,109,191,322,61,107,74,325,Low,LOW,LOW,LOW,MODERATE,MODERATE,MODERATE,HIGH,HIGH,LOW,LOW,87.74,30,15,10,2.75,7.2,3.9,2.22,1.67,10,5,1.29,0.08,11.48,0.02,0.6,0.78,0.1,0.12,-0.16,1.58,427,0.04,9886065,860811,650660,7783617,0.18,9167278,7080725,6598611,8024186,9167278,7511201,7964591,7735023,4687474,0,17714566,22795353,753102,942984,NA
Sanger,-119.555,36.708,181,122,132,58,109,219,226,123,182,74,325,Moderate,MODERATE,MODERATE,LOW,MODERATE,MODERATE,MODERATE,MODERATE,MODERATE,LOW,LOW,68.3,12.65,11.16,10,2.75,7.76,3.7,2.78,2.5,10,5,0.36,0.66,2.22,0.02,0.53,0.74,0.08,0.09,NA,NA,26635,0.118,1278223,576384,26341051,39993275,-0.02,4935949,13763300,5148217,4973831,4935949,13133416,13243493,13680325,21225446,0,61488609,83489048,3335500,3523584,NA
Santa Ana,-117.873221,33.7494951,82,112,236,58,406,37,36,27,1,74,1,Moderate,MODERATE,LOW,LOW,LOW,HIGH,HIGH,HIGH,HIGH,LOW,HIGH,57.67,12.24,13.74,10,4.75,1.92,3.35,1.67,0,10,0,0.31,0.35,4.77,0.18,1.26,0.67,0.12,0.18,0.1,0,331301,0.091,87816974,18426817,183702887,529268827,0.25,95426812,307823416,61741579,73331673,95426812,233966024,275532227,323202309,666536096,0,1455786769,2159130646,62278472,95453087,52935451
Santa Barbara,-119.702667,34.4221319,59,46,149,58,347,114,70,91,94,74,1,Moderate,HIGH,MODERATE,LOW,MODERATE,MODERATE,HIGH,MODERATE,HIGH,LOW,HIGH,54.3,6.46,11.83,10,3.63,5.04,3.45,2.5,1.39,10,0,0.18,0.58,2.47,0.09,0.87,0.69,0.09,0.13,0.07,0,90254,0.07,23652717,9594660,228999528,394293252,0.03,28759848,159993573,28274668,22993549,28759848,133107157,156957904,154797732,344469054,0,797383796,1159176773,35130862,50574284,26568000
Santa Clara,-121.955174,37.3541132,238,258,68,58,269,230,5,230,236,74,235,Low,LOW,MODERATE,LOW,MODERATE,MODERATE,HIGH,LOW,MODERATE,LOW,HIGH,74.62,22.88,8.75,10,3.25,7.92,3.15,3.61,3.06,10,2,0.63,0.95,21.55,0.06,0.51,0.63,0.05,0.07,0.03,0.4,131055,0.059,189210800,8780400,1033046310,1085822509,0.04,165808591,264727315,157187054,186520158,165808591,229915595,283176620,251662714,554706252,0,1036173674,1635190923,56087269,81294514,37376981
Santa Clarita,-118.5538088,34.4127963,393,309,180,58,238,337,362,354,355,74,297,Low,LOW,MODERATE,LOW,MODERATE,LOW,LOW,LOW,LOW,LOW,MODERATE,92.17,30,12.58,10,3.13,10,4.25,4.44,4.17,10,3.6,1.32,0.49,7.48,0.05,0.15,0.85,0.02,0.03,0.07,0.72,209990,0.117,185952583,24874135,125104100,255859577,0.1,157566595,119342023,135790992,179912098,157566595,102915745,113798465,112682119,38909366,0,192216858,226954635,6323890,7499868,16669651
Santa Cruz,-122.0308,36.9741,43,24,158,58,109,122,257,91,80,74,1,Moderate,HIGH,MODERATE,LOW,MODERATE,MODERATE,MODERATE,MODERATE,HIGH,LOW,HIGH,51.97,4.34,12.08,10,2.75,5.44,3.75,2.5,1.11,10,0,0.11,0.55,2.53,0.02,0.82,0.75,0.09,0.14,0.2,0,64317,0.078,22379150,8856556,117232268,214892878,0.69,11494759,104732300,5706670,14886362,11494759,98815751,108201341,101170480,170977491,6040000,553865176,737411130,19635902,29247365,43571320
Santa Fe Springs,-118.0691499,33.9480787,237,302,309,58,402,29,5,40,33,35,212,Low,LOW,LOW,LOW,LOW,HIGH,HIGH,HIGH,HIGH,LOW,HIGH,74.57,28.02,15,10,4.5,1.52,3.15,1.94,0.28,8.56,1.6,0.71,0.12,6.78,0.16,1.31,0.63,0.11,0.17,0.43,0.32,17349,0.077,40690124,5999349,11468421,96446183,0.28,46473275,65760030,28540702,33897656,46473275,56567628,62974444,75852455,126703953,0,225714534,359240806,10325320,16184008,41230455
Santa Monica,-118.491227,34.0194704,113,115,177,58,27,158,294,91,80,74,187,Moderate,MODERATE,MODERATE,LOW,HIGH,MODERATE,MODERATE,MODERATE,HIGH,LOW,HIGH,61.75,12.31,12.5,10,2.13,6.4,3.85,2.5,1.11,10,0.95,0.39,0.5,4.09,-0.03,0.7,0.77,0.09,0.14,0.05,0.19,90024,0.105,253967974,62161423,330924550,661046742,-0.23,191770160,491900170,325217105,259148188,191770160,403530957,415989419,377695236,465679011,0,1570909659,2051537416,62081294,92719280,33006869
Santa Rosa,-122.7141049,38.4404925,102,143,106,58,269,87,116,91,57,74,207,Moderate,MODERATE,MODERATE,LOW,MODERATE,MODERATE,MODERATE,MODERATE,HIGH,LOW,HIGH,60.3,14.31,10.25,10,3.25,4.16,3.55,2.5,0.83,10,1.45,0.39,0.77,12.57,0.06,0.98,0.71,0.09,0.15,0.21,0.29,174613,0.083,58945000,4689000,308819000,398669000,0.06,72679000,186220000,65049000,74220000,72679000,165729000,186558000,185506000,373331000,16425000,978402775,1372870148,36501000,59987521,83256000
