City_Name,Longitude,Latitude,Overall_Rank,General_Fund_Reserves_Rank,Debt_Burden_Rank,Liquidity_Rank,Revenue_Trends_Rank,Pension_Obligations_Rank,Pension_Funding_Rank,Pension_Costs_Rank,Future_Pension_Costs_Rank,OPEB_Obligations_Rank,OPEB_Funding_Rank,Overall_Risk,General_Fund_Reserves_Risk,Debt_Burden_Risk,Liquidity_Risk,Revenue_Trends_Risk,Pension_Obligations_Risk,Pension_Funding_Risk,Pension_Costs_Risk,Future_Pension_Costs_Risk,OPEB_Obligations_Risk,OPEB_Funding_Risk,Overall_Points,General_Fund_Reserves_Points,Debt_Burden_Points,Liquidity_Points,Revenue_Trends_Points,Pension_Obligations_Points,Pension_Funding_Points,Pension_Costs_Points,Future_Pension_Costs_Points,OPEB_Obligations_Points,OPEB_Funding_Points,General_Fund_Reserves_Ratio,Debt_Burden_Ratio,Liquidity_Ratio,Revenue_Trends_Ratio,Pension_Obligations_Ratio,Pension_Funding_Ratio,Pension_Costs_Ratio,Future_Pension_Costs_Ratio,OPEB_Obligations_Ratio,OPEB_Funding_Ratio,Population,Unemployment_rate,General_Fund_Cash_and_Investments,General_Fund_Liabilities,Primary_Government_Long_Term_Obligations_Excluding_Retirement_Obligations,Government_Wide_Revenue,Change_GF_Unrestricted_Fund_Balances,GF_Unrestricted_Fund_Balances,GF_Expenditures_Transfers_Out,GF_Unrestricted_FB_PY_PY,GF_Unrestricted_FB_PY,GF_Unrestricted_FB_CY,GF_Rev_PY_PY,GF_Rev_PY,GF_Rev_CY,Net_Pension_Liability_or_Asset,Pension_Related_Debt,Pension_Assets,Accrued_Pension_Liabilities,Actuarially_Determined_Pension_Contributions,Projected_Pension_Contribution,Net_OPEB_Liability_or_Asset
Milpitas,-121.8989248,37.4332273,279,309,225,58,81,81,24,61,57,74,260,Low,LOW,LOW,LOW,MODERATE,HIGH,HIGH,HIGH,HIGH,LOW,HIGH,79.04,30,13.49,10,2.63,3.92,3.3,2.22,0.83,10,2.65,0.76,0.38,5.42,0.01,1.01,0.66,0.1,0.15,0.21,0.53,75867,0.075,96110257,17720731,76073317,197705124,0.02,84587239,111321340,82767859,90422146,84587239,99123231,108104033,99421870,200483938,0,419281493,632454626,20077353,29495324,42501777
Mission Viejo,-117.659405,33.5965685,259,140,205,58,153,328,322,316,296,74,325,Low,MODERATE,MODERATE,LOW,MODERATE,LOW,MODERATE,LOW,LOW,LOW,LOW,76.61,14.05,13.16,10,2.88,9.84,3.9,4.17,3.61,10,5,0.4,0.42,5.32,0.03,0.27,0.78,0.03,0.05,-0.01,1.1,94242,0.08,25021633,4699517,33202751,79220985,-0.02,27914398,70003627,29485180,34324486,27914398,58672375,63356854,62325944,21135690,0,77107949,98946277,2704061,4264676,NA
Modesto,-120.9968892,37.6393419,10,35,52,11,269,128,51,149,107,74,1,High,HIGH,HIGH,HIGH,MODERATE,MODERATE,HIGH,MODERATE,HIGH,LOW,HIGH,40.79,5.27,7.41,1.05,3.25,5.68,3.4,3.06,1.67,10,0,0.15,1.11,0.21,0.06,0.79,0.68,0.07,0.12,0.06,0,215666,0.109,2137896,10369534,480214045,434550143,-0.01,21114506,143142197,21189859,20650353,21114506,126259696,128986559,142331396,341835012,0,787410391,1151661033,30797157,50917216,26459988
Monrovia,-118.0019,34.1478,22,27,68,58,196,21,388,230,208,32,1,Moderate,HIGH,MODERATE,LOW,MODERATE,HIGH,LOW,LOW,MODERATE,LOW,HIGH,46.73,4.51,8.75,10,3,0.8,4.8,3.61,2.78,8.48,0,0.13,0.95,2.33,0.04,1.4,0.96,0.05,0.08,0.44,0,37771,0.108,4381916,1883970,74094269,77770063,-0.03,5757296,43880486,6094181,5998612,5757296,33219484,35108087,35398052,3193768,105555000,331263709,343520260,3813658,6359807,34395451
Montague,-122.5267,41.7271,406,309,214,58,397,337,294,354,327,74,325,Low,LOW,MODERATE,LOW,LOW,LOW,MODERATE,LOW,LOW,LOW,LOW,94.76,30,13.33,10,4.25,10,3.85,4.44,3.89,10,5,1.21,0.4,30.21,0.14,0.18,0.77,0.02,0.04,NA,NA,1366,NA,905224,29968,803050,2002206,0.08,928896,766964,820882,1009112,928896,394671,519559,496942,353116,0,1358886,1756213,32276,73502,NA
Montclair,-117.6897,34.0775,26,116,61,58,81,1,36,13,1,72,1,Moderate,MODERATE,MODERATE,LOW,MODERATE,HIGH,HIGH,HIGH,HIGH,LOW,HIGH,47.95,12.36,8.58,10,2.63,0,3.35,1.11,0,9.92,0,0.36,0.97,4.98,0.01,1.54,0.67,0.14,0.21,0.26,0,40600,0.091,7626196,1531467,46324949,47542333,-0.05,12455170,34380928,13860935,14152817,12455170,32001505,33796520,32404070,73168182,0,160787436,239028264,6528038,10120677,12240684
Monte Sereno,-121.992458,37.236333,389,309,309,58,376,337,372,354,327,66,1,Low,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,LOW,HIGH,91.49,30,15,10,4,10,4.4,4.44,3.89,9.76,0,1.44,0,15.37,0.12,0.12,0.88,0.02,0.04,0.28,0,3491,NA,5932651,385953,17752,4295543,-0.02,5610569,3889797,5855210,5678916,5610569,3046909,3291798,3772494,528780,0,5051708,5717152,93864,180286,1194671
Montebello,-118.111975,34.0159398,7,14,46,24,81,1,402,27,296,74,1,High,HIGH,HIGH,HIGH,MODERATE,HIGH,LOW,HIGH,LOW,LOW,HIGH,36.58,2.21,6.91,4.55,2.63,0,5,1.67,3.61,10,0,0.07,1.17,0.91,0.01,2.44,1.01,0.12,0.05,0.24,0,61531,0.138,10080311,11135816,142919341,122205518,-0.22,3968838,57906914,11287858,14542796,3968838,41515893,45008706,41918474,144567004,153425000,480994384,478553269,14284792,5514910,29920612
Monterey Park,-118.129807,34.051522,201,299,196,58,153,27,160,19,1,66,200,Moderate,LOW,MODERATE,LOW,MODERATE,HIGH,MODERATE,HIGH,HIGH,LOW,HIGH,70.1,26.87,12.99,10,2.88,1.36,3.6,1.39,0,9.76,1.25,0.74,0.44,8.37,0.03,1.33,0.72,0.13,0.19,0.28,0.25,59344,0.149,33688997,4023450,38859993,88281497,0.05,32430645,43642050,29886581,32479633,32430645,41019677,45070511,43382436,104917080,12200000,279472800,387542247,11283347,16783094,24431060
Moorpark,-118.8820414,34.285558,244,65,309,58,109,337,392,388,355,74,325,Low,MODERATE,LOW,LOW,MODERATE,LOW,LOW,LOW,LOW,LOW,LOW,74.98,8.44,15,10,2.75,10,4.9,4.72,4.17,10,5,0.23,0.02,3.15,0.02,0,0.98,0.01,0.03,-0.02,1.44,36202,0.075,5258368,1670203,543269,31736918,0.06,4960428,21551974,4428985,4506117,4960428,19315069,20330941,19896238,75352,0,40192705,41104737,464471,818407,NA
Moraga,-122.12883,37.834897,379,308,222,58,196,278,226,354,236,74,325,Low,LOW,LOW,LOW,MODERATE,LOW,MODERATE,LOW,MODERATE,LOW,LOW,90.78,29.21,13.41,10,3,8.96,3.7,4.44,3.06,10,5,0.74,0.39,111.23,0.04,0.38,0.74,0.02,0.07,NA,NA,16967,0.067,3416556,30716,7079583,18374142,0.21,7531177,10240690,5500590,8213141,7531177,7998461,8269347,8704991,7053906,0,22555626,30346014,333366,1377709,NA
